vertex_index,x,y
0,2259318.010595986154,238749.133097013313
1,2259328.354993668851,238796.440090871387
2,2259340.953792245593,238848.410135000304
3,2259362.214264843613,238889.356230374600
4,2259384.262162352912,238977.547820411506
5,2259418.121433527675,239166.529799062060
6,2259440.169331036974,239273.619586964021
7,2259473.241177300923,239370.472851022438
8,2259546.083487360738,239398.892732955224
9,2259552.915340239182,239361.317542122881
10,2259629.750719708856,239089.036828469019
11,2259605.879533853848,238890.607596052811
12,2259455.192673146725,238692.924338194542
13,2259412.672123343684,238703.367982005904
