vertex_index,x,y
0,2259473.241177300923,239370.472851022438
1,2259440.169331036974,239273.619586964021
2,2259384.262162352912,238977.547820411506
3,2259362.214264843613,238889.356230374600
4,2259340.953792245593,238848.410135000304
5,2259318.010595986154,238749.133097013313
6,2259412.672123343684,238703.367982005904
7,2259455.192673146725,238692.924338194542
8,2259605.879533853848,238890.607596052811
9,2259629.750719708856,239089.036828469019
10,2259546.083487360738,239398.892732955224
