wse,A_ch,A_lob,A_rob,A_t,Fr,K_ch,K_lob,K_rob,K_t,P_ch,P_lob,P_rob,P_t,Sf_total,V_t,alpha
1.0,10.0,0.0,0.0,10.0,8.814901740573498,376.99077811478344,0.0,0.0,376.99077811478344,,,,,1.7590515029710803,50.0,0.9999999999999999
1.5,15.0,0.0,0.0,15.0,4.798224754928082,702.4920616343427,0.0,0.0,702.4920616343427,,,,,0.5065906463759884,33.333333333333336,1.0
2.0,20.0,0.0,0.0,20.0,3.1165383981263104,1079.9811939563062,0.0,0.0,1079.9811939563062,,,,,0.21434216969232242,25.0,1.0
2.5,25.0,0.0,0.0,25.0,2.230013348063595,1496.0888944042931,0.0,0.0,1496.0888944042931,,,,,0.11169280825130146,20.0,1.0
3.0,30.0,0.0,0.0,30.0,1.6964286309334036,1941.9602085866497,0.0,0.0,1941.9602085866497,,,,,0.06629173033204414,16.666666666666668,1.0
3.5,35.0,0.0,0.0,35.0,1.346218049440951,2411.3801620044383,0.0,0.0,2411.3801620044383,,,,,0.04299407811856258,14.285714285714286,1.0
4.0,40.0,0.0,0.0,40.0,1.1018627175716873,2899.812201311477,0.0,0.0,2899.812201311477,,,,,0.0297303664958044,12.5,1.0
4.5,45.0,0.0,0.0,45.0,0.923418784630018,3403.846861784248,0.0,0.0,3403.846861784248,,,,,0.02157744322540383,11.11111111111111,1.0
5.0,50.0,0.0,0.0,50.0,0.7884287802761423,3920.862094981554,0.0,0.0,3920.862094981554,,,,,0.016262109223312372,10.0,1.0000000000000002
5.5,55.0,0.0,0.0,55.0,0.6833975875253044,4448.803018431328,0.0,0.0,4448.803018431328,,,,,0.0126314630271481,9.090909090909092,1.0
6.0,60.0,0.0,0.0,60.0,0.5997780943660103,4986.033447020605,0.0,0.0,4986.033447020605,,,,,0.010056101164296016,8.333333333333334,0.9999999999999999
6.5,65.0,0.0,0.0,65.0,0.5319213726105003,5531.232675601661,0.0,0.0,5531.232675601661,,,,,0.008171394032365444,7.6923076923076925,1.0
7.0,70.0,0.0,0.0,70.0,0.4759599558577117,6083.321878171127,0.0,0.0,6083.321878171127,,,,,0.006755514276466329,7.142857142857143,1.0
7.5,75.0,0.0,0.0,75.0,0.4291662689336584,6641.410492172865,0.0,0.0,6641.410492172865,,,,,0.005667863216568675,6.666666666666667,1.0
8.0,80.0,0.0,0.0,80.0,0.3895672997657888,7204.7564375928605,0.0,0.0,7204.7564375928605,,,,,0.004816165487195578,6.25,1.0
8.5,85.0,0.0,0.0,85.0,0.3557042768655514,7772.736124349767,0.0,0.0,7772.736124349767,,,,,0.004138015950535355,5.882352941176471,1.0
9.0,90.0,0.0,0.0,90.0,0.3264778422434629,8344.821517277867,0.0,0.0,8344.821517277867,,,,,0.003590094696685281,5.555555555555555,1.0
9.5,95.0,0.0,0.0,95.0,0.3010454499966032,8920.56237513654,0.0,0.0,8920.56237513654,,,,,0.0031416336507736134,5.2631578947368425,1.0
10.0,100.0,0.0,0.0,100.0,0.27875166850794936,9499.572339261262,0.0,0.0,9499.572339261262,,,,,0.0027703325205530984,5.0,1.0
10.5,105.0,0.0,0.0,105.0,0.2590797844108887,10081.517924698477,0.0,0.0,10081.517924698477,,,,,0.002459734063210975,4.761904761904762,1.0
11.0,110.0,0.0,0.0,110.0,0.24161753419283497,10666.109726083932,0.0,0.0,10666.109726083932,,,,,0.002197495095421466,4.545454545454546,1.0
11.5,115.0,0.0,0.0,115.0,0.22603240972928074,11253.095332007188,0.0,0.0,11253.095332007188,,,,,0.0019742221151171913,4.3478260869565215,1.0
12.0,120.0,0.0,0.0,120.0,0.21205357886667545,11842.253570538529,0.0,0.0,11842.253570538529,,,,,0.0017826713976970266,4.166666666666667,1.0
12.5,125.0,0.0,0.0,125.0,0.19945845748008387,12433.389801482139,0.0,0.0,12433.389801482139,,,,,0.0016171894878892826,4.0,1.0
13.0,130.0,0.0,0.0,130.0,0.18806260481547052,13026.332038695284,0.0,0.0,13026.332038695284,,,,,0.0014733153734029646,3.8461538461538463,1.0
13.5,135.0,0.0,0.0,135.0,0.1777120279602993,13620.92773584657,0.0,0.0,13620.92773584657,,,,,0.0013474933512576202,3.7037037037037037,1.0
14.0,140.0,0.0,0.0,140.0,0.16827725618011888,14217.041106320434,0.0,0.0,14217.041106320434,,,,,0.0012368629213427387,3.5714285714285716,1.0
14.5,145.0,0.0,0.0,145.0,0.15964873152602282,14814.550876111582,0.0,0.0,14814.550876111582,,,,,0.0011391030878463433,3.4482758620689653,0.9999999999999999
15.0,150.0,0.0,0.0,150.0,0.15173318950975967,15413.348389954159,0.0,0.0,15413.348389954159,,,,,0.0010523156246587907,3.3333333333333335,0.9999999999999999
15.5,155.0,0.0,0.0,155.0,0.14445079232864963,16013.33600734917,0.0,0.0,16013.33600734917,,,,,0.0009749366024771522,3.225806451612903,1.0
16.0,160.0,0.0,0.0,160.0,0.1377328396964609,16614.42573785135,0.0,0.0,16614.42573785135,,,,,0.0009056686586059857,3.125,1.0
16.5,165.0,0.0,0.0,165.0,0.13151992704042512,17216.53807487089,0.0,0.0,17216.53807487089,,,,,0.0008434286590942282,3.0303030303030303,1.0
